iter	Logloss
0	0.6882512597
1	0.6837877409
2	0.6791206114
3	0.6741288438
4	0.6699514449
5	0.6658925722
6	0.6622566139
7	0.65826958
8	0.6546053958
9	0.6511273376
10	0.6480985311
11	0.6445436282
12	0.6412525985
13	0.6386346251
14	0.6357215494
15	0.6332223104
16	0.6307837038
17	0.6281468961
18	0.6260907498
19	0.6239541072
20	0.6217902256
21	0.6201188567
22	0.6178978831
23	0.6163437741
24	0.6148217792
25	0.613358446
26	0.6119657857
27	0.6106458951
28	0.6087539376
29	0.607203954
30	0.6055133254
31	0.6039323046
32	0.6028718599
33	0.601799596
34	0.6003985677
35	0.5991561257
36	0.5979847083
37	0.597049697
38	0.5957834238
39	0.5945118354
40	0.5936600415
41	0.5928376646
42	0.5920638738
43	0.5912000045
44	0.5904566116
45	0.5895497824
46	0.5887888091
47	0.58797952
48	0.5873287591
49	0.5866905221
50	0.5860557094
51	0.5855035823
52	0.5848177063
53	0.5839863584
54	0.583399794
55	0.5828033947
56	0.5820605405
57	0.5815700415
58	0.5809480354
59	0.5804392835
60	0.579696928
61	0.5789418336
62	0.5783743773
63	0.5777595253
64	0.5771572221
65	0.5765314653
66	0.5761463009
67	0.5756114783
68	0.5749828395
69	0.5745197509
70	0.5739937819
71	0.5734679142
72	0.5730547888
73	0.5721383966
74	0.5716619601
75	0.5709741904
76	0.5705700147
77	0.5700690397
78	0.5694295859
79	0.5687525622
80	0.5683563509
81	0.5678279443
82	0.567226728
83	0.5667264595
84	0.5662354345
85	0.5658111704
86	0.5653850511
87	0.5650615482
88	0.5646121907
89	0.5640663042
90	0.5636731084
91	0.5634259256
92	0.5630022507
93	0.5626717648
94	0.5620836421
95	0.5617849991
96	0.5614576788
97	0.5613613227
98	0.5606964966
99	0.5604114421
100	0.5601114305
101	0.559245687
102	0.5587600016
103	0.5583724178
104	0.5581229976
105	0.557351881
106	0.5571336484
107	0.5567991343
108	0.5564958502
109	0.5560799315
110	0.5557706576
111	0.5553629589
112	0.5550543666
113	0.5547125979
114	0.5543995853
115	0.5542288288
116	0.5539482644
117	0.5535378583
118	0.5530077413
119	0.552792977
120	0.5523922705
121	0.5522265048
122	0.5520241522
123	0.5515959153
124	0.551385
125	0.5508762247
126	0.5504403421
127	0.5502712633
128	0.5497840105
129	0.5494480601
130	0.548917987
131	0.54859602
132	0.5482421052
133	0.5479861025
134	0.5477212823
135	0.5470738566
136	0.5469016798
137	0.5466311985
138	0.5463268975
139	0.5458423008
140	0.5456410532
141	0.5454706636
142	0.5452641481
143	0.5450713615
144	0.5448654585
145	0.5447773346
146	0.5442229067
147	0.5440941501
148	0.5439051465
149	0.5436456384
150	0.5432246579
151	0.5429675692
152	0.5427660144
153	0.5423498325
154	0.5420350612
155	0.5416804199
156	0.541349974
157	0.541126435
158	0.5409887002
159	0.5406532508
160	0.5404759842
161	0.5400648032
162	0.5396510871
163	0.5394368054
164	0.5391330033
165	0.5387160036
166	0.5382801421
167	0.5380913088
168	0.5377619797
169	0.5376278366
170	0.5376212098
171	0.5373169239
172	0.5371162902
173	0.5366672518
174	0.5364310711
175	0.5360199282
176	0.5356525998
177	0.5354017767
178	0.5353718677
179	0.5351944587
180	0.5345536599
181	0.5343425956
182	0.5341166295
183	0.5339534347
184	0.5337756604
185	0.5335494329
186	0.5333774953
187	0.5332037098
188	0.5328460695
189	0.5325109852
190	0.5322650323
191	0.5320079098
192	0.531697371
193	0.5312871309
194	0.5310466061
195	0.5309398855
196	0.5308433589
197	0.5306760215
198	0.5303247066
199	0.5299348258
200	0.5297317922
201	0.5295155965
202	0.5290181623
203	0.5288341248
204	0.5285652605
205	0.5283693001
206	0.5283482195
207	0.5281288831
208	0.5278872356
209	0.5275944944
210	0.5274429536
211	0.5272970028
212	0.5269575047
213	0.5267917663
214	0.5265517516
215	0.5263287505
216	0.5257262776
217	0.5257262773
218	0.5254808482
219	0.5253310713
220	0.5252532152
221	0.5251612835
222	0.5249831053
223	0.5248540603
224	0.5245955146
225	0.5245208093
226	0.5242702359
227	0.5238620468
228	0.5237760168
229	0.5235316064
230	0.5234019437
231	0.5232263804
232	0.5230944959
233	0.5228466113
234	0.5225984954
235	0.5224941796
236	0.5223923415
237	0.5221362104
238	0.5219269279
239	0.5218122404
240	0.521474738
241	0.5211416331
242	0.5209904019
243	0.5208502403
244	0.5204539282
245	0.5203080272
246	0.5200734403
247	0.5199326379
248	0.5196807638
249	0.5196540893
250	0.5195007447
251	0.5193892813
252	0.5190649259
253	0.5185749352
254	0.5183521205
255	0.5182890462
256	0.5180903855
257	0.5179661829
258	0.5177891902
259	0.5173629714
260	0.5172332765
261	0.5171756645
262	0.5170378122
263	0.5167533875
264	0.5166413172
265	0.5164315323
266	0.5161871291
267	0.5160306175
268	0.5159026863
269	0.5155910613
270	0.5154623508
271	0.5153144751
272	0.5152304805
273	0.5150007681
274	0.5146862904
275	0.5146073788
276	0.5144013185
277	0.5139942748
278	0.5139001616
279	0.5137502927
280	0.5136873511
281	0.5135156195
282	0.5134461673
283	0.5132931217
284	0.5131950171
285	0.5130811414
286	0.5130009736
287	0.5129987499
288	0.5127699068
289	0.5126176978
290	0.5125210921
291	0.5123580363
292	0.5122156984
293	0.511991497
294	0.5118464205
295	0.5116299041
296	0.5114999191
297	0.5114508307
298	0.5113374337
299	0.5111656206
300	0.5110655264
301	0.5109163754
302	0.5108668372
303	0.5103978177
304	0.5101948997
305	0.5099418682
306	0.5097701285
307	0.5096465319
308	0.5095225606
309	0.5094412861
310	0.5090557533
311	0.5088736973
312	0.5087168491
313	0.5084863774
314	0.5082980342
315	0.5082238766
316	0.5080012275
317	0.5078668232
318	0.5076689973
319	0.5075698625
320	0.5074862079
321	0.5073501512
322	0.5073182972
323	0.506882721
324	0.506710302
325	0.5064370239
326	0.5060791882
327	0.5059638651
328	0.5056146543
329	0.5055110924
330	0.505140898
331	0.5048798531
332	0.5044890777
333	0.5043433207
334	0.5042664909
335	0.5041682944
336	0.5040719029
337	0.5038783072
338	0.5034786473
339	0.5033492647
340	0.5032579772
341	0.5031119735
342	0.5029812254
343	0.5027797001
344	0.5027285412
345	0.5026035646
346	0.5025071566
347	0.5020946247
348	0.5017491278
349	0.5013279545
350	0.5010608048
351	0.5008867592
352	0.5007834772
353	0.5006307532
354	0.500317184
355	0.5001233444
356	0.5000377344
357	0.4997842388
358	0.4994591827
359	0.4993793289
360	0.4991940152
361	0.4989269592
362	0.4988125957
363	0.4987520959
364	0.4986521165
365	0.4985154629
366	0.4982749302
367	0.4982145122
368	0.497925725
369	0.4977601556
370	0.4975257862
371	0.4973639834
372	0.4972218313
373	0.4969552489
374	0.496767206
375	0.496413425
376	0.4960596811
377	0.4958537849
378	0.4957781777
379	0.4956804699
380	0.4954291057
381	0.4951355579
382	0.4950623188
383	0.4947878309
384	0.494619813
385	0.4944725542
386	0.4943527869
387	0.4941295879
388	0.4938894375
389	0.4935895538
390	0.4933662592
391	0.4930098937
392	0.4926235988
393	0.4924111276
394	0.4921277898
395	0.4919359447
396	0.4918639087
397	0.4916718335
398	0.4914864106
399	0.4914135247
400	0.4912589315
401	0.4911347
402	0.4910104176
403	0.4908907551
404	0.4907229813
405	0.4905589764
406	0.4904039431
407	0.4901660792
408	0.489948299
409	0.4897638917
410	0.489504007
411	0.4893863054
412	0.4892877702
413	0.4891791707
414	0.4890651582
415	0.4890108668
