iter	Passed	Remaining
0	80	80674
1	101	50709
2	120	40087
3	141	35342
4	163	32456
5	179	29774
6	199	28304
7	214	26610
8	231	25467
9	245	24349
10	259	23303
11	271	22329
12	284	21606
13	298	21019
14	313	20602
15	328	20209
16	342	19804
17	355	19421
18	369	19074
19	383	18803
20	397	18535
21	414	18407
22	431	18335
23	444	18095
24	458	17895
25	471	17671
26	484	17465
27	498	17297
28	510	17109
29	523	16933
30	536	16761
31	548	16601
32	562	16487
33	576	16376
34	589	16266
35	606	16245
36	620	16142
37	634	16061
38	646	15942
39	663	15913
40	679	15901
41	694	15843
42	707	15755
43	722	15698
44	734	15596
45	750	15560
46	763	15477
47	776	15400
48	789	15327
49	803	15259
50	816	15196
51	833	15203
52	848	15160
53	864	15141
54	879	15106
55	893	15066
56	907	15008
57	920	14944
58	932	14865
59	944	14804
60	958	14755
61	972	14713
62	985	14651
63	997	14582
64	1009	14522
65	1024	14492
66	1039	14468
67	1054	14458
68	1068	14421
69	1082	14386
70	1097	14354
71	1113	14346
72	1126	14307
73	1139	14264
74	1153	14224
75	1167	14200
76	1182	14173
77	1196	14146
78	1210	14110
79	1223	14066
80	1240	14072
81	1256	14066
82	1271	14046
83	1283	13995
84	1296	13952
85	1308	13904
86	1319	13850
87	1332	13806
88	1345	13768
89	1356	13720
90	1368	13671
91	1380	13624
92	1392	13584
93	1405	13548
94	1419	13518
95	1434	13504
96	1450	13499
97	1455	13400
98	1467	13351
99	1479	13315
100	1492	13286
101	1502	13229
102	1513	13183
103	1525	13146
104	1538	13113
105	1550	13080
106	1563	13052
107	1577	13030
108	1592	13014
109	1610	13029
110	1624	13013
111	1641	13014
112	1656	13003
113	1669	12975
114	1683	12952
115	1695	12920
116	1707	12887
117	1721	12870
118	1734	12843
119	1748	12822
120	1761	12794
121	1773	12766
122	1784	12724
123	1797	12700
124	1811	12677
125	1823	12646
126	1836	12621
127	1850	12605
128	1870	12631
129	1885	12616
130	1900	12609
131	1913	12580
132	1925	12553
133	1940	12539
134	1953	12519
135	1968	12504
136	1980	12477
137	1992	12446
138	2006	12425
139	2019	12403
140	2031	12377
141	2043	12348
142	2055	12318
143	2070	12307
144	2085	12295
145	2098	12272
146	2110	12244
147	2123	12225
148	2136	12200
149	2148	12177
150	2162	12160
151	2174	12134
152	2187	12109
153	2200	12086
154	2211	12055
155	2225	12040
156	2239	12026
157	2252	12005
158	2267	11993
159	2282	11982
160	2295	11963
161	2307	11937
162	2319	11912
163	2332	11889
164	2343	11858
165	2355	11834
166	2367	11811
167	2380	11791
168	2394	11774
169	2407	11753
170	2413	11701
171	2424	11670
172	2436	11647
173	2449	11629
174	2461	11602
175	2474	11586
176	2489	11576
177	2502	11558
178	2507	11499
179	2519	11477
180	2531	11452
181	2543	11431
182	2555	11409
183	2568	11390
184	2580	11366
185	2592	11346
186	2605	11326
187	2617	11304
188	2629	11284
189	2642	11265
190	2654	11244
191	2665	11217
192	2678	11197
193	2691	11180
194	2703	11160
195	2713	11132
196	2725	11110
